,Depth (m),Number of Prod Wells,Number of Inj Wells,Maximum Reservoir Temperature (deg.C),Wellfield Cost ($M),Surface Plant Cost ($M),Exploration Cost ($M),Field Gathering System Cost ($M),Wellfield O&M Cost ($M/year),Surface Plant O&M Cost ($M/year),Make-Up Water O&M Cost ($M/year),Average Reservoir Heat Extraction (MWth),Average Total Electricity Generation (MWe),Lifetime
444,3.5,1,2,400.0,26.93,31.13,7.89,1.45,0.59,1.38,0.04,8.54,8.54,35
533,3.5,1,3,400.0,35.9,31.13,7.89,1.93,0.68,1.38,0.04,8.54,8.54,35
591,3.5,1,4,400.0,44.88,31.13,7.89,2.42,0.78,1.38,0.04,8.54,8.54,35
384,3.5,1,5,400.0,53.86,31.13,7.89,2.9,0.87,1.38,0.04,8.54,8.54,35
651,3.5,1,6,400.0,62.83,31.13,7.89,3.38,0.97,1.38,0.04,8.54,8.54,35
512,3.5,2,2,400.0,35.9,51.8,7.89,2.01,0.8,2.03,0.07,17.07,17.07,35
492,3.5,2,3,400.0,44.88,51.8,7.89,2.42,0.89,2.03,0.07,17.07,17.07,35
427,3.5,2,4,400.0,53.86,51.8,7.89,2.9,0.98,2.03,0.07,17.07,17.07,35
576,3.5,2,5,400.0,62.83,51.8,7.89,3.38,1.08,2.03,0.07,17.07,17.07,35
823,3.5,2,6,400.0,71.81,51.8,7.89,3.86,1.17,2.03,0.07,17.07,17.07,35
731,3.5,3,3,400.0,53.86,69.93,7.89,3.0,1.05,2.5,0.11,25.61,25.61,35
790,3.5,3,4,400.0,62.83,69.93,7.89,3.38,1.15,2.5,0.11,25.61,25.61,35
635,3.5,3,5,400.0,71.81,69.93,7.89,3.86,1.24,2.5,0.11,25.61,25.61,35
405,3.5,3,6,400.0,80.79,69.93,7.89,4.35,1.33,2.5,0.11,25.61,25.61,35
730,3.5,4,4,400.0,71.81,86.66,7.89,3.99,1.29,2.89,0.15,34.14,34.14,35
694,3.5,4,5,400.0,80.79,86.66,7.89,4.35,1.38,2.89,0.15,34.14,34.14,35
462,3.5,4,6,400.0,89.76,86.66,7.89,4.83,1.48,2.89,0.15,34.14,34.14,35
523,3.5,5,5,400.0,89.76,102.39,7.89,4.97,1.51,3.23,0.18,42.68,42.68,35
768,3.5,5,6,400.0,98.74,102.39,7.89,5.31,1.61,3.23,0.18,42.68,42.68,35
711,3.5,6,6,400.0,107.71,118.52,7.89,5.95,1.73,3.56,0.22,51.22,51.22,35
166,3.6,1,1,400.0,18.64,31.73,8.15,0.97,0.51,1.41,0.04,9.09,9.09,35
350,3.6,1,2,400.0,27.96,31.73,8.15,1.45,0.61,1.41,0.04,9.09,9.09,35
229,3.6,1,3,400.0,37.28,31.73,8.15,1.93,0.7,1.41,0.04,9.09,9.09,35
278,3.6,1,4,400.0,46.6,31.73,8.15,2.42,0.8,1.41,0.04,9.09,9.09,35
300,3.6,1,5,400.0,55.92,31.73,8.15,2.9,0.9,1.41,0.04,9.09,9.09,35
117,3.6,1,6,400.0,65.24,31.73,8.15,3.38,1.0,1.41,0.04,9.09,9.09,35
189,3.6,2,2,400.0,37.28,52.83,8.15,1.93,0.82,2.06,0.07,18.17,18.17,35
367,3.6,2,3,400.0,46.6,52.83,8.15,2.42,0.91,2.06,0.07,18.17,18.17,35
314,3.6,2,4,400.0,55.92,52.83,8.15,2.9,1.01,2.06,0.07,18.17,18.17,35
248,3.6,2,5,400.0,65.24,52.83,8.15,3.38,1.11,2.06,0.07,18.17,18.17,35
89,3.6,2,6,400.0,74.56,52.83,8.15,3.86,1.21,2.06,0.07,18.17,18.17,35
19,3.6,3,3,400.0,55.92,71.31,8.15,2.9,1.08,2.54,0.11,27.26,27.26,35
62,3.6,3,4,400.0,65.24,71.31,8.15,3.38,1.18,2.54,0.11,27.26,27.26,35
137,3.6,3,5,400.0,74.56,71.31,8.15,3.86,1.27,2.54,0.11,27.26,27.26,35
290,3.6,3,6,400.0,83.88,71.31,8.15,4.35,1.37,2.54,0.11,27.26,27.26,35
16,3.6,4,4,400.0,74.56,88.31,8.15,3.86,1.32,2.93,0.15,36.35,36.35,35
184,3.6,4,5,400.0,83.88,88.31,8.15,4.35,1.42,2.93,0.15,36.35,36.35,35
334,3.6,4,6,400.0,93.2,88.31,8.15,4.83,1.52,2.93,0.15,36.35,36.35,35
200,3.6,5,5,400.0,93.2,104.28,8.15,4.83,1.55,3.28,0.18,45.44,45.44,35
42,3.6,5,6,400.0,102.52,104.28,8.15,5.31,1.65,3.28,0.18,45.44,45.44,35
163,3.6,6,6,400.0,111.84,121.24,8.15,5.8,1.78,3.62,0.22,54.52,54.52,35
304,3.7,1,1,400.0,19.34,32.35,8.41,0.97,0.52,1.44,0.04,9.66,9.66,35
122,3.7,1,2,400.0,29.01,32.35,8.41,1.45,0.62,1.44,0.04,9.66,9.66,35
50,3.7,1,3,400.0,38.68,32.35,8.41,1.93,0.72,1.44,0.04,9.66,9.66,35
8,3.7,1,4,400.0,48.35,32.35,8.41,2.42,0.83,1.44,0.04,9.66,9.66,35
162,3.7,1,5,400.0,58.02,32.35,8.41,2.9,0.93,1.44,0.04,9.66,9.66,35
345,3.7,1,6,400.0,67.69,32.35,8.41,3.38,1.03,1.44,0.04,9.66,9.66,35
80,3.7,2,2,400.0,38.68,53.85,8.41,1.93,0.84,2.1,0.07,19.32,19.32,35
112,3.7,2,3,400.0,48.35,53.85,8.41,2.42,0.94,2.1,0.07,19.32,19.32,35
151,3.7,2,4,400.0,58.02,53.85,8.41,2.9,1.04,2.1,0.07,19.32,19.32,35
45,3.7,2,5,400.0,67.69,53.85,8.41,3.38,1.14,2.1,0.07,19.32,19.32,35
198,3.7,2,6,400.0,77.36,53.85,8.41,3.86,1.24,2.1,0.07,19.32,19.32,35
268,3.7,3,3,400.0,58.02,72.67,8.41,2.9,1.1,2.58,0.11,28.97,28.97,35
221,3.7,3,4,400.0,67.69,72.67,8.41,3.38,1.21,2.58,0.11,28.97,28.97,35
337,3.7,3,5,400.0,77.36,72.67,8.41,3.86,1.31,2.58,0.11,28.97,28.97,35
182,3.7,3,6,400.0,87.03,72.67,8.41,4.35,1.41,2.58,0.11,28.97,28.97,35
265,3.7,4,4,400.0,77.36,89.95,8.41,3.86,1.35,2.98,0.15,38.63,38.63,35
292,3.7,4,5,400.0,87.03,89.95,8.41,4.35,1.46,2.98,0.15,38.63,38.63,35
134,3.7,4,6,400.0,96.7,89.95,8.41,4.83,1.56,2.98,0.15,38.63,38.63,35
91,3.7,5,5,400.0,96.7,106.61,8.41,4.83,1.59,3.33,0.18,48.29,48.29,35
244,3.7,5,6,400.0,106.37,106.61,8.41,5.31,1.7,3.33,0.18,48.29,48.29,35
302,3.7,6,6,400.0,116.04,123.87,8.41,5.8,1.83,3.68,0.22,57.95,57.95,35
335,3.8,1,1,400.0,20.05,32.97,8.67,0.97,0.53,1.47,0.04,10.25,10.25,35
180,3.8,1,2,400.0,30.08,32.97,8.67,1.45,0.64,1.47,0.04,10.25,10.25,35
17,3.8,1,3,400.0,40.1,32.97,8.67,1.93,0.74,1.47,0.04,10.25,10.25,35
64,3.8,1,4,400.0,50.13,32.97,8.67,2.42,0.85,1.47,0.04,10.25,10.25,35
132,3.8,1,5,400.0,60.16,32.97,8.67,2.9,0.95,1.47,0.04,10.25,10.25,35
286,3.8,1,6,400.0,70.18,32.97,8.67,3.38,1.06,1.47,0.04,10.25,10.25,35
22,3.8,2,2,400.0,40.1,54.89,8.67,1.93,0.86,2.13,0.07,20.5,20.5,35
148,3.8,2,3,400.0,50.13,54.89,8.67,2.42,0.96,2.13,0.07,20.5,20.5,35
96,3.8,2,4,400.0,60.16,54.89,8.67,2.9,1.07,2.13,0.07,20.5,20.5,35
77,3.8,2,5,400.0,70.18,54.89,8.67,3.38,1.17,2.13,0.07,20.5,20.5,35
261,3.8,2,6,400.0,80.21,54.89,8.67,3.86,1.28,2.13,0.07,20.5,20.5,35
232,3.8,3,3,400.0,60.16,74.05,8.67,2.9,1.13,2.62,0.11,30.75,30.75,35
276,3.8,3,4,400.0,70.18,74.05,8.67,3.38,1.24,2.62,0.11,30.75,30.75,35
303,3.8,3,5,400.0,80.21,74.05,8.67,3.86,1.34,2.62,0.11,30.75,30.75,35
121,3.8,3,6,400.0,90.23,74.05,8.67,4.35,1.45,2.62,0.11,30.75,30.75,35
231,3.8,4,4,400.0,80.21,91.62,8.67,3.86,1.39,3.02,0.15,41.0,41.0,35
346,3.8,4,5,400.0,90.23,91.62,8.67,4.35,1.49,3.02,0.15,41.0,41.0,35
168,3.8,4,6,400.0,100.26,91.62,8.67,4.83,1.6,3.02,0.15,41.0,41.0,35
29,3.8,5,5,400.0,100.26,109.0,8.67,4.83,1.64,3.39,0.18,51.25,51.25,35
216,3.8,5,6,400.0,110.29,109.0,8.67,5.31,1.74,3.39,0.18,51.25,51.25,35
331,3.8,6,6,400.0,120.31,126.43,8.67,5.8,1.88,3.74,0.22,61.5,61.5,35
136,3.9,1,1,400.0,20.78,33.61,8.93,0.97,0.55,1.49,0.04,10.86,10.86,35
289,3.9,1,2,400.0,31.16,33.61,8.93,1.45,0.66,1.49,0.04,10.86,10.86,35
266,3.9,1,3,400.0,41.55,33.61,8.93,1.93,0.76,1.49,0.04,10.86,10.86,35
223,3.9,1,4,400.0,51.94,33.61,8.93,2.42,0.87,1.49,0.04,10.86,10.86,35
332,3.9,1,5,400.0,62.33,33.61,8.93,2.9,0.98,1.49,0.04,10.86,10.86,35
179,3.9,1,6,400.0,72.71,33.61,8.93,3.38,1.09,1.49,0.04,10.86,10.86,35
250,3.9,2,2,400.0,41.55,55.95,8.93,1.93,0.88,2.16,0.07,21.72,21.72,35
328,3.9,2,3,400.0,51.94,55.95,8.93,2.42,0.99,2.16,0.07,21.72,21.72,35
372,3.9,2,4,400.0,62.33,55.95,8.93,2.9,1.09,2.16,0.07,21.72,21.72,35
213,3.9,2,5,400.0,72.71,55.95,8.93,3.38,1.2,2.16,0.07,21.72,21.72,35
31,3.9,2,6,400.0,83.1,55.95,8.93,3.86,1.31,2.16,0.07,21.72,21.72,35
54,3.9,3,3,400.0,62.33,75.46,8.93,2.9,1.16,2.65,0.11,32.59,32.59,35
6,3.9,3,4,400.0,72.71,75.46,8.93,3.38,1.27,2.65,0.11,32.59,32.59,35
165,3.9,3,5,400.0,83.1,75.46,8.93,3.86,1.38,2.65,0.11,32.59,32.59,35
349,3.9,3,6,400.0,93.49,75.46,8.93,4.35,1.49,2.65,0.11,32.59,32.59,35
53,3.9,4,4,400.0,83.1,93.36,8.93,3.86,1.42,3.06,0.15,43.45,43.45,35
118,3.9,4,5,400.0,93.49,93.36,8.93,4.35,1.53,3.06,0.15,43.45,43.45,35
306,3.9,4,6,400.0,103.88,93.36,8.93,4.83,1.64,3.06,0.15,43.45,43.45,35
258,3.9,5,5,400.0,103.88,111.36,8.93,4.83,1.68,3.44,0.18,54.31,54.31,35
79,3.9,5,6,400.0,114.26,111.36,8.93,5.31,1.79,3.44,0.18,54.31,54.31,35
131,3.9,6,6,400.0,124.65,128.98,8.93,5.8,1.92,3.79,0.22,65.17,65.17,35
767,4.0,1,1,400.0,21.51,34.28,9.2,0.97,0.56,1.52,0.04,11.49,11.49,35
522,4.0,1,2,400.0,32.27,34.28,9.2,1.45,0.67,1.52,0.04,11.49,11.49,35
482,4.0,1,3,400.0,43.02,34.28,9.2,1.93,0.78,1.52,0.04,11.49,11.49,35
435,4.0,1,4,400.0,53.78,34.28,9.2,2.42,0.9,1.52,0.04,11.49,11.49,35
565,4.0,1,5,400.0,64.53,34.28,9.2,2.9,1.01,1.52,0.04,11.49,11.49,35
808,4.0,1,6,400.0,75.29,34.28,9.2,3.38,1.12,1.52,0.04,11.49,11.49,35
442,4.0,2,2,400.0,43.02,57.05,9.2,1.93,0.9,2.2,0.07,22.99,22.99,35
535,4.0,2,3,400.0,53.78,57.05,9.2,2.42,1.01,2.2,0.07,22.99,22.99,35
589,4.0,2,4,400.0,64.53,57.05,9.2,2.9,1.12,2.2,0.07,22.99,22.99,35
385,4.0,2,5,400.0,75.29,57.05,9.2,3.38,1.23,2.2,0.07,22.99,22.99,35
656,4.0,2,6,400.0,86.04,57.05,9.2,3.86,1.35,2.2,0.07,22.99,22.99,35
687,4.0,3,3,400.0,64.53,76.94,9.2,2.9,1.19,2.69,0.11,34.48,34.48,35
624,4.0,3,4,400.0,75.29,76.94,9.2,3.38,1.3,2.69,0.11,34.48,34.48,35
836,4.0,3,5,400.0,86.04,76.94,9.2,3.86,1.41,2.69,0.11,34.48,34.48,35
562,4.0,3,6,400.0,96.8,76.94,9.2,4.35,1.52,2.69,0.11,34.48,34.48,35
679,4.0,4,4,400.0,86.04,95.23,9.2,3.86,1.46,3.11,0.15,45.98,45.98,35
779,4.0,4,5,400.0,96.8,95.23,9.2,4.35,1.57,3.11,0.15,45.98,45.98,35
508,4.0,4,6,400.0,107.55,95.23,9.2,4.83,1.68,3.11,0.15,45.98,45.98,35
443,4.0,5,5,400.0,107.55,113.75,9.2,4.83,1.72,3.49,0.18,57.47,57.47,35
714,4.0,5,6,400.0,118.31,113.75,9.2,5.31,1.83,3.49,0.18,57.47,57.47,35
753,4.0,6,6,400.0,129.06,131.67,9.2,5.8,1.97,3.85,0.22,68.97,68.97,35
579,4.1,1,1,400.0,22.26,34.97,9.48,0.97,0.57,1.55,0.04,12.15,12.15,35
820,4.1,1,2,400.0,33.39,34.97,9.48,1.45,0.69,1.55,0.04,12.15,12.15,35
609,4.1,1,3,400.0,44.52,34.97,9.48,1.93,0.81,1.55,0.04,12.15,12.15,35
675,4.1,1,4,400.0,55.64,34.97,9.48,2.42,0.92,1.55,0.04,12.15,12.15,35
754,4.1,1,5,400.0,66.77,34.97,9.48,2.9,1.04,1.55,0.04,12.15,12.15,35
511,4.1,1,6,400.0,77.9,34.97,9.48,3.38,1.15,1.55,0.04,12.15,12.15,35
652,4.1,2,2,400.0,44.52,58.19,9.48,1.93,0.92,2.23,0.07,24.3,24.3,35
804,4.1,2,3,400.0,55.64,58.19,9.48,2.42,1.03,2.23,0.07,24.3,24.3,35
745,4.1,2,4,400.0,66.77,58.19,9.48,2.9,1.15,2.23,0.07,24.3,24.3,35
713,4.1,2,5,400.0,77.9,58.19,9.48,3.38,1.27,2.23,0.07,24.3,24.3,35
445,4.1,2,6,400.0,89.03,58.19,9.48,3.86,1.38,2.23,0.07,24.3,24.3,35
425,4.1,3,3,400.0,66.77,78.51,9.48,2.9,1.22,2.73,0.11,36.45,36.45,35
472,4.1,3,4,400.0,77.9,78.51,9.48,3.38,1.33,2.73,0.11,36.45,36.45,35
506,4.1,3,5,400.0,89.03,78.51,9.48,3.86,1.45,2.73,0.11,36.45,36.45,35
781,4.1,3,6,400.0,100.16,78.51,9.48,4.35,1.56,2.73,0.11,36.45,36.45,35
416,4.1,4,4,400.0,89.03,97.45,9.48,3.86,1.49,3.16,0.15,48.59,48.59,35
561,4.1,4,5,400.0,100.16,97.45,9.48,4.35,1.61,3.16,0.15,48.59,48.59,35
839,4.1,4,6,400.0,111.29,97.45,9.48,4.83,1.73,3.16,0.15,48.59,48.59,35
653,4.1,5,5,400.0,111.29,116.18,9.48,4.83,1.76,3.55,0.18,60.74,60.74,35
386,4.1,5,6,400.0,122.42,116.18,9.48,5.31,1.88,3.55,0.18,60.74,60.74,35
564,4.1,6,6,400.0,133.55,135.37,9.48,5.8,2.02,3.92,0.22,72.89,72.89,35
245,4.2,1,1,400.0,23.02,35.7,9.76,0.97,0.59,1.57,0.04,12.82,12.82,35
92,4.2,1,2,400.0,34.53,35.7,9.76,1.45,0.71,1.57,0.04,12.82,12.82,35
104,4.2,1,3,400.0,46.03,35.7,9.76,1.93,0.83,1.57,0.04,12.82,12.82,35
158,4.2,1,4,400.0,57.54,35.7,9.76,2.42,0.95,1.57,0.04,12.82,12.82,35
33,4.2,1,5,400.0,69.05,35.7,9.76,2.9,1.07,1.57,0.04,12.82,12.82,35
190,4.2,1,6,400.0,80.56,35.7,9.76,3.38,1.19,1.57,0.04,12.82,12.82,35
116,4.2,2,2,400.0,46.03,59.41,9.76,1.93,0.94,2.27,0.07,25.65,25.65,35
55,4.2,2,3,400.0,57.54,59.41,9.76,2.42,1.06,2.27,0.07,25.65,25.65,35
3,4.2,2,4,400.0,69.05,59.41,9.76,2.9,1.18,2.27,0.07,25.65,25.65,35
169,4.2,2,5,400.0,80.56,59.41,9.76,3.38,1.3,2.27,0.07,25.65,25.65,35
348,4.2,2,6,400.0,92.07,59.41,9.76,3.86,1.42,2.27,0.07,25.65,25.65,35
329,4.2,3,3,400.0,69.05,80.21,9.76,2.9,1.24,2.78,0.11,38.47,38.47,35
371,4.2,3,4,400.0,80.56,80.21,9.76,3.38,1.36,2.78,0.11,38.47,38.47,35
215,4.2,3,5,400.0,92.07,80.21,9.76,3.86,1.48,2.78,0.11,38.47,38.47,35
27,4.2,3,6,400.0,103.58,80.21,9.76,4.35,1.6,2.78,0.11,38.47,38.47,35
324,4.2,4,4,400.0,92.07,99.75,9.76,3.86,1.53,3.21,0.15,51.3,51.3,35
259,4.2,4,5,400.0,103.58,99.75,9.76,4.35,1.65,3.21,0.15,51.3,51.3,35
74,4.2,4,6,400.0,115.08,99.75,9.76,4.83,1.77,3.21,0.15,51.3,51.3,35
123,4.2,5,5,400.0,115.08,118.72,9.76,4.83,1.81,3.6,0.18,64.12,64.12,35
305,4.2,5,6,400.0,126.59,118.72,9.76,5.31,1.93,3.6,0.18,64.12,64.12,35
237,4.2,6,6,400.0,138.1,139.33,9.76,5.8,2.08,4.0,0.22,76.94,76.94,35
43,4.3,1,1,400.0,23.79,36.47,10.04,0.97,0.6,1.6,0.04,13.52,13.52,35
201,4.3,1,2,400.0,35.68,36.47,10.04,1.45,0.72,1.6,0.04,13.52,13.52,35
359,4.3,1,3,400.0,47.58,36.47,10.04,1.93,0.85,1.6,0.04,13.52,13.52,35
320,4.3,1,4,400.0,59.47,36.47,10.04,2.42,0.97,1.6,0.04,13.52,13.52,35
236,4.3,1,5,400.0,71.36,36.47,10.04,2.9,1.09,1.6,0.04,13.52,13.52,35
82,4.3,1,6,400.0,83.26,36.47,10.04,3.38,1.22,1.6,0.04,13.52,13.52,35
344,4.3,2,2,400.0,47.58,60.73,10.04,1.93,0.96,2.3,0.07,27.04,27.04,35
233,4.3,2,3,400.0,59.47,60.73,10.04,2.42,1.08,2.3,0.07,27.04,27.04,35
274,4.3,2,4,400.0,71.36,60.73,10.04,2.9,1.21,2.3,0.07,27.04,27.04,35
307,4.3,2,5,400.0,83.26,60.73,10.04,3.38,1.33,2.3,0.07,27.04,27.04,35
119,4.3,2,6,400.0,95.15,60.73,10.04,3.86,1.45,2.3,0.07,27.04,27.04,35
149,4.3,3,3,400.0,71.36,82.07,10.04,2.9,1.27,2.82,0.11,40.56,40.56,35
94,4.3,3,4,400.0,83.26,82.07,10.04,3.38,1.4,2.82,0.11,40.56,40.56,35
78,4.3,3,5,400.0,95.15,82.07,10.04,3.86,1.52,2.82,0.11,40.56,40.56,35
257,4.3,3,6,400.0,107.05,82.07,10.04,4.35,1.64,2.82,0.11,40.56,40.56,35
143,4.3,4,4,400.0,95.15,102.16,10.04,3.86,1.57,3.26,0.15,54.08,54.08,35
30,4.3,4,5,400.0,107.05,102.16,10.04,4.35,1.69,3.26,0.15,54.08,54.08,35
212,4.3,4,6,400.0,118.94,102.16,10.04,4.83,1.81,3.26,0.15,54.08,54.08,35
351,4.3,5,5,400.0,118.94,121.38,10.04,4.83,1.85,3.66,0.18,67.6,67.6,35
167,4.3,5,6,400.0,130.83,121.38,10.04,5.31,1.97,3.66,0.18,67.6,67.6,35
34,4.3,6,6,400.0,142.73,143.6,10.04,5.8,2.13,4.08,0.22,81.12,81.12,35
126,4.4,1,1,400.0,24.57,37.29,10.33,0.97,0.61,1.63,0.04,14.24,14.24,35
312,4.4,1,2,400.0,36.86,37.29,10.33,1.45,0.74,1.63,0.04,14.24,14.24,35
271,4.4,1,3,400.0,49.14,37.29,10.33,1.93,0.87,1.63,0.04,14.24,14.24,35
235,4.4,1,4,400.0,61.43,37.29,10.33,2.42,1.0,1.63,0.04,14.24,14.24,35
342,4.4,1,5,400.0,73.71,37.29,10.33,2.9,1.12,1.63,0.04,14.24,14.24,35
160,4.4,1,6,400.0,86.0,37.29,10.33,3.38,1.25,1.63,0.04,14.24,14.24,35
238,4.4,2,2,400.0,49.14,62.16,10.33,1.93,0.98,2.34,0.07,28.48,28.48,35
319,4.4,2,3,400.0,61.43,62.16,10.33,2.42,1.11,2.34,0.07,28.48,28.48,35
361,4.4,2,4,400.0,73.71,62.16,10.33,2.9,1.24,2.34,0.07,28.48,28.48,35
197,4.4,2,5,400.0,86.0,62.16,10.33,3.38,1.36,2.34,0.07,28.48,28.48,35
38,4.4,2,6,400.0,98.28,62.16,10.33,3.86,1.49,2.34,0.07,28.48,28.48,35
65,4.4,3,3,400.0,73.71,84.13,10.33,2.9,1.3,2.87,0.11,42.71,42.71,35
14,4.4,3,4,400.0,86.0,84.13,10.33,3.38,1.43,2.87,0.11,42.71,42.71,35
188,4.4,3,5,400.0,98.28,84.13,10.33,3.86,1.56,2.87,0.11,42.71,42.71,35
338,4.4,3,6,400.0,110.57,84.13,10.33,4.35,1.68,2.87,0.11,42.71,42.71,35
59,4.4,4,4,400.0,98.28,104.72,10.33,3.86,1.6,3.31,0.15,56.95,56.95,35
141,4.4,4,5,400.0,110.57,104.72,10.33,4.35,1.73,3.31,0.15,56.95,56.95,35
294,4.4,4,6,400.0,122.85,104.72,10.33,4.83,1.86,3.31,0.15,56.95,56.95,35
243,4.4,5,5,400.0,122.85,125.17,10.33,4.83,1.89,3.73,0.18,71.19,71.19,35
87,4.4,5,6,400.0,135.14,125.17,10.33,5.31,2.02,3.73,0.18,71.19,71.19,35
115,4.4,6,6,400.0,147.42,148.24,10.33,5.8,2.18,4.16,0.22,85.43,85.43,35
355,4.5,1,1,400.0,25.37,38.17,10.62,0.97,0.63,1.66,0.04,14.98,14.98,35
174,4.5,1,2,400.0,38.05,38.17,10.62,1.45,0.76,1.66,0.04,14.98,14.98,35
0,4.5,1,3,400.0,50.73,38.17,10.62,1.93,0.89,1.66,0.04,14.98,14.98,35
56,4.5,1,4,400.0,63.41,38.17,10.62,2.42,1.02,1.66,0.04,14.98,14.98,35
114,4.5,1,5,400.0,76.1,38.17,10.62,2.9,1.15,1.66,0.04,14.98,14.98,35
299,4.5,1,6,400.0,88.78,38.17,10.62,3.38,1.28,1.66,0.04,14.98,14.98,35
35,4.5,2,2,400.0,50.73,63.75,10.62,1.93,1.0,2.38,0.07,29.96,29.96,35
156,4.5,2,3,400.0,63.41,63.75,10.62,2.42,1.13,2.38,0.07,29.96,29.96,35
106,4.5,2,4,400.0,76.1,63.75,10.62,2.9,1.26,2.38,0.07,29.96,29.96,35
88,4.5,2,5,400.0,88.78,63.75,10.62,3.38,1.4,2.38,0.07,29.96,29.96,35
240,4.5,2,6,400.0,101.46,63.75,10.62,3.86,1.53,2.38,0.07,29.96,29.96,35
224,4.5,3,3,400.0,76.1,86.42,10.62,2.9,1.33,2.92,0.11,44.93,44.93,35
262,4.5,3,4,400.0,88.78,86.42,10.62,3.38,1.46,2.92,0.11,44.93,44.93,35
296,4.5,3,5,400.0,101.46,86.42,10.62,3.86,1.59,2.92,0.11,44.93,44.93,35
139,4.5,3,6,400.0,114.14,86.42,10.62,4.35,1.72,2.92,0.11,44.93,44.93,35
217,4.5,4,4,400.0,101.46,107.48,10.62,3.86,1.64,3.37,0.15,59.91,59.91,35
341,4.5,4,5,400.0,114.14,107.48,10.62,4.35,1.77,3.37,0.15,59.91,59.91,35
187,4.5,4,6,400.0,126.83,107.48,10.62,4.83,1.9,3.37,0.15,59.91,59.91,35
40,4.5,5,5,400.0,126.83,129.46,10.62,4.83,1.94,3.81,0.18,74.89,74.89,35
196,4.5,5,6,400.0,139.51,129.46,10.62,5.31,2.07,3.81,0.18,74.89,74.89,35
343,4.5,6,6,400.0,152.19,153.3,10.62,5.8,2.23,4.26,0.22,89.87,89.87,35
452,4.6,1,1,400.0,26.17,39.13,10.92,0.97,0.64,1.69,0.04,15.74,15.74,35
716,4.6,1,2,400.0,39.26,39.13,10.92,1.45,0.77,1.69,0.04,15.74,15.74,35
742,4.6,1,3,400.0,52.34,39.13,10.92,1.93,0.91,1.69,0.04,15.74,15.74,35
806,4.6,1,4,400.0,65.43,39.13,10.92,2.42,1.05,1.69,0.04,15.74,15.74,35
649,4.6,1,5,400.0,78.51,39.13,10.92,2.9,1.18,1.69,0.04,15.74,15.74,35
378,4.6,1,6,400.0,91.6,39.13,10.92,3.38,1.32,1.69,0.04,15.74,15.74,35
757,4.6,2,2,400.0,52.34,65.5,10.92,1.93,1.02,2.42,0.07,31.48,31.48,35
673,4.6,2,3,400.0,65.43,65.5,10.92,2.42,1.16,2.42,0.07,31.48,31.48,35
614,4.6,2,4,400.0,78.51,65.5,10.92,2.9,1.29,2.42,0.07,31.48,31.48,35
815,4.6,2,5,400.0,91.6,65.5,10.92,3.38,1.43,2.42,0.07,31.48,31.48,35
574,4.6,2,6,400.0,104.69,65.5,10.92,3.86,1.56,2.42,0.07,31.48,31.48,35
548,4.6,3,3,400.0,78.51,88.97,10.92,2.9,1.36,2.97,0.11,47.22,47.22,35
602,4.6,3,4,400.0,91.6,88.97,10.92,3.38,1.49,2.97,0.11,47.22,47.22,35
407,4.6,3,5,400.0,104.69,88.97,10.92,3.86,1.63,2.97,0.11,47.22,47.22,35
642,4.6,3,6,400.0,117.77,88.97,10.92,4.35,1.77,2.97,0.11,47.22,47.22,35
545,4.6,4,4,400.0,104.69,110.47,10.92,3.86,1.68,3.43,0.15,62.96,62.96,35
464,4.6,4,5,400.0,117.77,110.47,10.92,4.35,1.81,3.43,0.15,62.96,62.96,35
702,4.6,4,6,400.0,130.86,110.47,10.92,4.83,1.95,3.43,0.15,62.96,62.96,35
759,4.6,5,5,400.0,130.86,134.15,10.92,4.83,1.98,3.89,0.18,78.7,78.7,35
519,4.6,5,6,400.0,143.94,134.15,10.92,5.31,2.12,3.89,0.18,78.7,78.7,35
436,4.6,6,6,400.0,157.03,158.84,10.92,5.8,2.29,4.35,0.22,94.44,94.44,35
663,4.7,1,1,400.0,26.99,40.17,11.22,0.97,0.65,1.72,0.04,16.52,16.52,35
388,4.7,1,2,400.0,40.48,40.17,11.22,1.45,0.79,1.72,0.04,16.52,16.52,35
586,4.7,1,3,400.0,53.98,40.17,11.22,1.93,0.93,1.72,0.04,16.52,16.52,35
536,4.7,1,4,400.0,67.47,40.17,11.22,2.42,1.07,1.72,0.04,16.52,16.52,35
440,4.7,1,5,400.0,80.97,40.17,11.22,2.9,1.21,1.72,0.04,16.52,16.52,35
707,4.7,1,6,400.0,94.46,40.17,11.22,3.38,1.35,1.72,0.04,16.52,16.52,35
568,4.7,2,2,400.0,53.98,67.47,11.22,1.93,1.04,2.46,0.07,33.04,33.04,35
432,4.7,2,3,400.0,67.47,67.47,11.22,2.42,1.18,2.46,0.07,33.04,33.04,35
487,4.7,2,4,400.0,80.97,67.47,11.22,2.9,1.32,2.46,0.07,33.04,33.04,35
516,4.7,2,5,400.0,94.46,67.47,11.22,3.38,1.46,2.46,0.07,33.04,33.04,35
761,4.7,2,6,400.0,107.96,67.47,11.22,3.86,1.6,2.46,0.07,33.04,33.04,35
791,4.7,3,3,400.0,80.97,91.75,11.22,2.9,1.39,3.02,0.11,49.57,49.57,35
728,4.7,3,4,400.0,94.46,91.75,11.22,3.38,1.53,3.02,0.11,49.57,49.57,35
699,4.7,3,5,400.0,107.96,91.75,11.22,3.86,1.67,3.02,0.11,49.57,49.57,35
